Rank	Visual magnitude simple	Visual magnitude	Proper name	Bayer designation simple	Bayer designation	Constellation	Distance (ly)	Spectral type simple	Spectral type	Spectral class	Spectral subclass	Luminosity class	Celestial Hemisphere
0	-26.74	-26.74	Sun 	N/A	N/A	N/A	0	G2	G2 V	G	2	V	N/A
1	-1.46	-1.46	Sirius 	Alpha CMa	α CMa	CMa	8.6	A0	A0mA1 Va, DA2	A	0	V	Southern
2	-0.74	-0.74	Canopus 	Alpha Car	α Car	Car	310	A9	A9 II	A	9	II	Southern
3	-0.27	-0.27 (0.01 + 1.33)	Rigil Kentaurus & Toliman 	Alpha Cen	α Cen	Cen	4.34	G2	G2 V, K1 V	G	2	V	Southern
4	-0.05	-0.05	Arcturus 	Alpha Boo	α Boo	Boo	37	K0	K0 III	K	0	III	Northern
5	0.03	0.03 (−0.02-0.07 var )	Vega 	Alpha Lyr	α Lyr	Lyr	25	A0	A0 Va	A	0	V	Northern
6	0.08	0.08 (0.03-0.16 var )	Capella 	Alpha Aur	α Aur	Aur	43	K0	K0 III, G1 III	K	0	III	Northern
7	0.13	0.13 (0.05-0.18 var )	Rigel 	Beta Ori	β Ori	Ori	860	B8	B8 Ia	B	8	Ia	Southern
8	0.34	0.34	Procyon 	Alpha CMi	α CMi	CMi	11	F5	F5 IV-V	F	5	IV	Northern
9	0.46	0.46 (0.40-0.46 var )	Achernar 	Alpha Eri	α Eri	Eri	140	B3	B3 Vpe	B	3	V	Southern
10	0.5	0.50 (0.0-1.6 var )	Betelgeuse 	Alpha Ori	α Ori	Ori	640	M1	M1-M2 Ia-ab	M	1	Ia	Northern
11	0.61	0.61	Hadar 	Beta Cen	β Cen	Cen	390	B1	B1 III	B	1	III	Southern
12	0.76	0.76	Altair 	Alpha Aql	α Aql	Aql	17	A7	A7 V	A	7	V	Northern
13	0.76	0.76 (1.33 + 1.73)	Acrux 	Alpha Cru	α Cru	Cru	320	B0	B0.5 IV, B1 V	B	0.5	V	Southern
14	0.86	0.86 (0.75-0.95 var )	Aldebaran 	Alpha Tau	α Tau	Tau	65	K5	K5 III	K	5	III	Northern
15	0.96	0.96 (0.6-1.6 var )	Antares 	Alpha Sco	α Sco	Sco	550	M1	M1.5 Iab-Ib, B2.5 V	M	1.5	Ia	Southern
16	0.97	0.97 (0.97-1.04 var )	Spica 	Alpha Vir	α Vir	Vir	250	B1	B1 III-IV, B2 V	B	1	III	Southern
17	1.14	1.14	Pollux 	Beta Gem	β Gem	Gem	34	K0	K0 III	K	0	III	Northern
18	1.16	1.16	Fomalhaut 	Alpha PsA	α PsA	PsA	25	A3	A3 V	A	3	V	Southern
19	1.25	1.25 (1.21-1.29 var )	Deneb 	Alpha Cyg	α Cyg	Cyg	2600	A2	A2 Ia	A	2	Ia	Northern
20	1.25	1.25 (1.23-1.31 var )	Mimosa 	Beta Cru	β Cru	Cru	280	B0	B0.5 III, B2 V	B	0.5	III	Southern
21	1.39	1.39	Regulus 	Alpha Leo	α Leo	Leo	79	B8	B8 IVn	B	8	IV	Northern
22	1.5	1.5	Adhara 	Epsilon CMa	ε CMa	CMa	430	B2	B2 II	B	2	II	Southern
23	1.58	1.58 (1.93 + 2.97)	Castor 	Alpha Gem	α Gem	Gem	51	A1	A1 V, Am	A	1	V	Northern
24	1.62	1.62	Shaula 	Lambda Sco	λ Sco	Sco	570	B2	B2 IV	B	2	IV	Southern
25	1.64	1.64	Gacrux 	Gamma Cru	γ Cru	Cru	89	M3	M3.5 III	M	3.5	III	Southern
26	1.64	1.64	Bellatrix 	Gamma Ori	γ Ori	Ori	250	B2	B2 III	B	2	III	Northern
27	1.65	1.65	Elnath 	Beta Tau/Gamma Aur	β Tau/γ Aur	Aur	130	B7	B7 III	B	7	III	Northern
28	1.69	1.69	Miaplacidus 	Beta Car	β Car	Car	110	A1	A1 III	A	1	III	Southern
29	1.69	1.69 (1.64-1.74 var )	Alnilam 	Epsilon Ori	ε Ori	Ori	1180	B0	B0 Ia	B	0	Ia	Southern
31	1.74	1.74	Alnair 	Alpha Gru	α Gru	Gru	100	B6	B6 V	B	6	V	Southern
32	1.77	1.77	Alnitak 	Zeta Ori	ζ Ori	Ori	1300	O9	O9.5 Iab, B1 IV, B0 III	O	9.5	Ia	Southern
33	1.77	1.77	Alioth 	Epsilon UMa	ε UMa	UMa	83	A1	A1 III-IVp kB9	A	1	III	Northern
34	1.79	1.79	Dubhe 	Alpha UMa	α UMa	UMa	120	K0	K0 III, F0 V	K	0	III	Northern
35	1.82	1.82	Mirfak 	Alpha Per	α Per	Per	510	F5	F5 Ib	F	5	Ia	Northern
36	1.82	1.82	Wezen 	Delta CMa	δ CMa	CMa	1800	F8	F8 Ia	F	8	Ia	Southern
30	1.83	1.83 (1.81-1.87 var + 4.27)	N/A	Gamma Vel 	γ Vel 	Vel	840	O7	WC8, O7.5III	O	7.5	III	Southern
37	1.84	1.84	Sargas 	Theta Sco	θ Sco	Sco	330	F0	F0 II	F	0	II	Southern
38	1.85	1.85	Kaus Australis 	Epsilon Sgr	ε Sgr	Sgr	140	B9	B9.5 III	B	9.5	III	Southern
39	1.86	1.86	Avior 	Epsilon Car	ε Car	Car	600	K3	K3 III, B2 Vp	K	3	III	Southern
40	1.86	1.86	Alkaid 	Eta UMa	η UMa	UMa	100	B3	B3 V	B	3	V	Northern
41	1.9	1.90 (1.89-1.94 var )	Menkalinan 	Beta Aur	β Aur	Aur	80	A1	A1mIV+A1mIV	A	1	IV	Northern
42	1.91	1.91	Atria 	Alpha TrA	α TrA	TrA	390	K2	K2 IIb-IIIa	K	2	II	Southern
43	1.92	1.92	Alhena 	Gamma Gem	γ Gem	Gem	100	A1	A1.5 IV+	A	1.5	IV	Northern
44	1.94	1.94	Peacock 	Alpha Pav	α Pav	Pav	180	B3	B3 V	B	3	V	Southern
